#_ReacDC,Symbol_ReacDC,#_SIT,Symbol_SIT,eps_j_Cl-,sigma_eps_j_Cl-,eps_j_ClO4-,sigma_eps_j_ClO4-,eps_j_NO3-,sigma_eps_j_NO3-,eps_j_Li+,sigma_eps_j_Li+,eps_j_Na+,sigma_eps_j_Na+,eps_j_K+,sigma_eps_j_K+,eps_j_NaCl,sigma_eps_j_NaCl,eps_j_NaClO4,sigma_eps_j_NaClO4
11,Cu(CO3)2-2,9,Cu(CO3)2-2,0,,0,,0,,,,0.34,0.21,,,0,,0,
13,Cu(CO3)OH-,11,Cu(CO3)OH-,0,,0,,0,,,,0.1,0.05,,,0,,0,
18,Cu(H2PO4)(HPO4)-,13,Cu(H2PO4)(HPO4)-,0,,0,,0,,,,0.007,,,,0,,0,
31,Cu(H2PO4)(HPO4)-2,23,Cu(H2PO4)(HPO4)-2,0,,0,,0,,,,-0.06,,,,0,,0,
30,Cu(H2PO4)2-,22,Cu(H2PO4)2-,0,,0,,0,,,,-0.04,,,,0,,0,
17,Cu(H2PO4)2(aq),29,Cu(H2PO4)2(aq),0,,0,,0,,0,,0,,0,,0.03,,0.03,
19,Cu(HPO4)2-2,14,Cu(HPO4)2-2,0,,0,,0,,,,-0.02,,,,0,,0,
27,Cu(HS)2-,20,Cu(HS)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
21,Cu(OH)2-,16,Cu(OH)2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
2,Cu(OH)2(aq),24,Cu(OH)2(aq),0,,0,,0,,0,,0,,0,,0.18,0.36,0.18,0.36
3,Cu(OH)3-,3,Cu(OH)3-,0,,0,,0,,,,0.4,0.09,0.4,0.02,0,,0,
4,Cu(OH)4-2,4,Cu(OH)4-2,0,,0,,0,,,,0.19,0.1,0.29,0.05,0,,0,
,Cu+,15,Cu+,0.11,0.01,0.11,0.01,,,0,,0,,0,,0,,0,
,Cu+2,1,Cu+2,0.32,0.02,0.32,0.02,0.11,0.01,0,,0,,0,,0,,0,
6,Cu2(OH)2+2,6,Cu2(OH)2+2,0.29,0.12,0.29,0.12,,,0,,0,,0,,0,,0,
25,Cu2Cl4-2,19,Cu2Cl4-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
5,Cu2OH+3,5,Cu2OH+3,0.54,0.06,0.54,0.06,,,0,,0,,0,,0,,0,
28,Cu2S(HS)2-2,21,Cu2S(HS)2-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
7,Cu3(OH)4+2,7,Cu3(OH)4+2,0.33,0.11,0.33,0.11,,,0,,0,,0,,0,,0,
22,CuCl(aq),31,CuCl(aq),0,,0,,0,,0,,0,,0,,0,,0,
8,CuCl+,8,CuCl+,0.3,0.05,0.3,0.05,,,0,,0,,0,,0,,0,
23,CuCl2-,17,CuCl2-,0,,0,,0,,,,-0.05,0.1,,,0,,0,
9,CuCl2(aq),25,CuCl2(aq),0,,0,,0,,0,,0,,0,,0.28,0.07,0.28,0.07
24,CuCl3-2,18,CuCl3-2,0,,0,,0,,,,-0.1,0.1,,,0,,0,
10,CuCO3(aq),26,CuCO3(aq),0,,0,,0,,0,,0,,0,,-0.01,0.1,-0.01,0.1
29,CuH2PO4(aq),33,CuH2PO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
16,CuH2PO4+,12,CuH2PO4+,0.1,,0.1,,,,0,,0,,0,,0,,0,
12,CuHCO3+,10,CuHCO3+,0.46,0.15,0.46,0.15,,,0,,0,,0,,0,,0,
15,CuHPO4(aq),28,CuHPO4(aq),0,,0,,0,,0,,0,,0,,0,,0,
26,CuHS(aq),32,CuHS(aq),0,,0,,0,,0,,0,,0,,0,,0,
20,CuOH(aq),30,CuOH(aq),0,,0,,0,,0,,0,,0,,0,,0,
1,CuOH+,2,CuOH+,-0.15,0.08,-0.15,0.08,,,0,,0,,0,,0,,0,
14,CuSO4(aq),27,CuSO4(aq),0,,0,,0,,0,,0,,0,,0.15,0.07,0.15,0.07
