Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
CuOH+,CuOH+,CuOH+,aq,-7.95,0.16,66,2.8,1008,23,18,350,1 Cu+2 1 H2O(l) -1 H+ = CuOH+
Cu(OH)2(aq),Cu(OH)2(aq),Cu(OH)2(aq),aq,-16.2,0.2,89.9,0.7,1174,6,25,350,1 Cu+2 2 H2O(l) -2 H+ = Cu(OH)2(aq)
Cu(OH)3-,Cu(OH)3-,Cu(OH)3-,aq,-26.6,0.09,,,,,,,1 Cu+2 3 H2O(l) -3 H+ = Cu(OH)3-
Cu(OH)4-2,Cu(OH)4-2,Cu(OH)4-2,aq,-39.74,0.18,167,5.7,864,57,25,300,1 Cu+2 4 H2O(l) -4 H+ = Cu(OH)4-2
Cu2OH+3,Cu2OH+3,Cu2OH+3,aq,-6.4,0.12,,,,,,,2 Cu+2 1 H2O(l) -1 H+ = Cu2OH+3
Cu2(OH)2+2,Cu2(OH)2+2,Cu2(OH)2+2,aq,-10.43,0.07,71.4,5,0,,15,45,2 Cu+2 2 H2O(l) -2 H+ = Cu2(OH)2+2
Cu3(OH)4+2,Cu3(OH)4+2,Cu3(OH)4+2,aq,-21.1,0.2,,,,,,,3 Cu+2 4 H2O(l) -4 H+ = Cu3(OH)4+2
CuCl+,CuCl+,CuCl+,aq,0.83,0.09,,,,,,,1 Cu+2 1 Cl- = CuCl+
CuCl2(aq),CuCl2(aq),CuCl2(aq),aq,0.6,0.3,,,,,,,1 Cu+2 2 Cl- = CuCl2(aq)
CuCO3(aq),CuCO3(aq),CuCO3(aq),aq,-3.56,0.03,,,,,,,1 Cu+2 1 HCO3- -1 H+ = CuCO3(aq)
Cu(CO3)2-2,Cu(CO3)2-2,Cu(CO3)2-2,aq,-10.3,0.1,,,,,,,1 Cu+2 2 HCO3- -2 H+ = Cu(CO3)2-2
CuHCO3+,CuHCO3+,CuHCO3+,aq,1.84,0.1,,,,,,,1 Cu+2 1 HCO3- = CuHCO3+
Cu(CO3)OH-,Cu(CO3)OH-,Cu(CO3)OH-,aq,11.21,0.3,,,,,,,1 Cu+2 1 CO3-2 1 OH- = Cu(CO3)OH-
CuSO4(aq),CuSO4(aq),CuSO4(aq),aq,2.35,0.05,7.3,1.5,,,25,,1 Cu+2 1 SO4-2 = CuSO4(aq)
CuHPO4(aq),CuHPO4(aq),CuHPO4(aq),aq,4.11,0.3,,,,,,,1 Cu+2 1 HPO4-2 = CuHPO4(aq)
CuH2PO4+,CuH2PO4+,CuH2PO4+,aq,1.14,0.15,,,,,,,1 Cu+2 1 H2PO4- = CuH2PO4+
Cu(H2PO4)2(aq),Cu(H2PO4)2(aq),Cu(H2PO4)2(aq),aq,1.9,0.2,,,,,,,1 Cu+2 2 H2PO4- = Cu(H2PO4)2(aq)
Cu(H2PO4)(HPO4)-,Cu(H2PO4)(HPO4)-,Cu(H2PO4)(HPO4)-,aq,5.4,0.2,,,,,,,1 Cu+2 1 H2PO4- 1 HPO4-2 = Cu(H2PO4)(HPO4)-
Cu(HPO4)2-2,Cu(HPO4)2-2,Cu(HPO4)2-2,aq,7.4,0.2,,,,,,,1 Cu+2 2 HPO4-2 = Cu(HPO4)2-2
CuOH(aq),CuOH(aq),Cu|+1|OH(aq),aq,-7.85,0.41,41.3,4.4,-848,123,25,100,1 Cu+ 1 H2O(l) -1 H+ = CuOH(aq)
Cu(OH)2-,Cu(OH)2-,Cu|+1|(OH)2-,aq,-18.64,0.6,61,12,-277,98,25,350,1 Cu+ 2 H2O(l) -2 H+ = Cu(OH)2-
CuCl(aq),CuCl(aq),Cu|+1|Cl(aq),aq,3.3,0.25,,,,,,,1 Cu+ 1 Cl- = CuCl(aq)
CuCl2-,CuCl2-,Cu|+1|Cl2-,aq,5.48,0.25,,,,,,,1 Cu+ 2 Cl- = CuCl2-
CuCl3-2,CuCl3-2,Cu|+1|Cl3-2,aq,4.81,0.25,,,,,,,1 Cu+ 3 Cl- = CuCl3-2
Cu2Cl4-2,Cu2Cl4-2,Cu|+1|2Cl4-2,aq,10.32,0.5,,,,,,,2 Cu+ 4 Cl- = Cu2Cl4-2
CuHS(aq),CuHS(aq),Cu|+1|HS|-2|(aq),aq,13,,,,,,,,1 Cu+ 1 HS- = CuHS(aq)
Cu(HS)2-,Cu(HS)2-,Cu|+1|(HS|-2|)2-,aq,17.18,0.13,-102,7,800,300,22,90,1 Cu+ 2 HS- = Cu(HS)2-
Cu2S(HS)2-2,Cu2S(HS)2-2,Cu|+1|2S|-2|(HS|-2|)2-2,aq,29.87,0.13,,,,,,,2 Cu+ 3 HS- -1 H+ = Cu2S(HS)2-2
CuH2PO4(aq),CuH2PO4(aq),Cu|+1|H2PO4(aq),aq,0.87,0.3,,,,,,,1 Cu+ 1 H2PO4- = CuH2PO4(aq)
Cu(H2PO4)2-,Cu(H2PO4)2-,Cu|+1|(H2PO4)2-,aq,1.8,0.2,,,,,,,1 Cu+ 2 H2PO4- = Cu(H2PO4)2-
Cu(H2PO4)(HPO4)-2,Cu(H2PO4)(HPO4)-2,Cu|+1|(H2PO4)(HPO4)-2,aq,-3,0.2,,,,,,,1 Cu+ 2 H2PO4- -1 H+ = Cu(H2PO4)(HPO4)-2
