Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
ZrOH+3,ZrOH+3,ZrOH+3,aq,0.32,0.22,,,,,,,1 Zr+4 1 H2O(l) -1 H+ = ZrOH+3
Zr(OH)2+2,Zr(OH)2+2,Zr(OH)2+2,aq,0.98,1.06,,,,,,,1 Zr+4 2 H2O(l) -2 H+ = Zr(OH)2+2
Zr(OH)4(aq),Zr(OH)4(aq),Zr(OH)4(aq),aq,-2.19,1.7,,,,,,,1 Zr+4 4 H2O(l) -4 H+ = Zr(OH)4(aq)
Zr(OH)6-2,Zr(OH)6-2,Zr(OH)6-2,aq,-29,0.7,,,,,,,1 Zr+4 6 H2O(l) -6 H+ = Zr(OH)6-2
Zr3(OH)4+8,Zr3(OH)4+8,Zr3(OH)4+8,aq,0.4,0.3,-1.98,18.028,,,25,,3 Zr+4 4 H2O(l) -4 H+ = Zr3(OH)4+8
Zr3(OH)9+3,Zr3(OH)9+3,Zr3(OH)9+3,aq,12.19,0.08,,,,,,,3 Zr+4 9 H2O(l) -9 H+ = Zr3(OH)9+3
Zr4(OH)8+8,Zr4(OH)8+8,Zr4(OH)8+8,aq,6.52,0.65,,,,,,,4 Zr+4 8 H2O(l) -8 H+ = Zr4(OH)8+8
Zr4(OH)15+,Zr4(OH)15+,Zr4(OH)15+,aq,12.58,0.24,,,,,,,4 Zr+4 15 H2O(l) -15 H+ = Zr4(OH)15+
Zr4(OH)16(aq),Zr4(OH)16(aq),Zr4(OH)16(aq),aq,8.39,0.8,301.12,21.266,,,25,,4 Zr+4 16 H2O(l) -16 H+ = Zr4(OH)16(aq)
CaZr(OH)6(aq),CaZr(OH)6(aq),CaZr(OH)6(aq),aq,-24.6,0.3,,,,,,,1 Ca+2 1 Zr+4 6 H2O(l) -6 H+ = CaZr(OH)6(aq)
Ca2Zr(OH)6+2,Ca2Zr(OH)6+2,Ca2Zr(OH)6+2,aq,-22.6,0.3,,,,,,,2 Ca+2 1 Zr+4 6 H2O(l) -6 H+ = Ca2Zr(OH)6+2
Ca3Zr(OH)6+4,Ca3Zr(OH)6+4,Ca3Zr(OH)6+4,aq,-23.2,0.3,,,,,,,3 Ca+2 1 Zr+4 6 H2O(l) -6 H+ = Ca3Zr(OH)6+4
ZrF+3,ZrF+3,ZrF+3,aq,10.12,0.07,-5.3,0.8,,,25,,1 Zr+4 1 F- = ZrF+3
ZrF2+2,ZrF2+2,ZrF2+2,aq,18.55,0.31,-9.9,1.3,,,25,,1 Zr+4 2 F- = ZrF2+2
ZrF3+,ZrF3+,ZrF3+,aq,24.72,0.38,-8.9,2.1,,,25,,1 Zr+4 3 F- = ZrF3+
ZrF4(aq),ZrF4(aq),ZrF4(aq),aq,30.11,0.4,-18.7,3.4,,,25,,1 Zr+4 4 F- = ZrF4(aq)
ZrF5-,ZrF5-,ZrF5-,aq,34.6,0.42,,,,,,,1 Zr+4 5 F- = ZrF5-
ZrF6-2,ZrF6-2,ZrF6-2,aq,38.11,0.43,,,,,,,1 Zr+4 6 F- = ZrF6-2
ZrCl+3,ZrCl+3,ZrCl+3,aq,1.59,0.06,,,,,,,1 Zr+4 1 Cl- = ZrCl+3
ZrCl2+2,ZrCl2+2,ZrCl2+2,aq,2.17,0.24,,,,,,,1 Zr+4 2 Cl- = ZrCl2+2
ZrSO4+2,ZrSO4+2,ZrSO4+2,aq,7.04,0.09,36.94,7.153,,,25,,1 Zr+4 1 SO4-2 = ZrSO4+2
Zr(SO4)2(aq),Zr(SO4)2(aq),Zr(SO4)2(aq),aq,11.54,0.21,67.38,7.258,,,25,,1 Zr+4 2 SO4-2 = Zr(SO4)2(aq)
Zr(SO4)3-2,Zr(SO4)3-2,Zr(SO4)3-2,aq,14.3,0.5,,,,,,,1 Zr+4 3 SO4-2 = Zr(SO4)3-2
ZrNO3+3,ZrNO3+3,ZrNO3+3,aq,1.59,0.08,,,,,,,1 Zr+4 1 NO3- = ZrNO3+3
Zr(NO3)2+2,Zr(NO3)2+2,Zr(NO3)2+2,aq,2.64,0.17,,,,,,,1 Zr+4 2 NO3- = Zr(NO3)2+2
Zr(CO3)4-4,Zr(CO3)4-4,Zr(CO3)4-4,aq,42.9,1,,,,,,,1 Zr+4 4 CO3-2 = Zr(CO3)4-4
