Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
NpO2(OH)2w1(cr_hex),NpO2(OH)2:H2O(cr_hex),Np|+6|O2(OH)2(H2O),s,-5.47,0.4,,,,,,,1 NpO2+2 3 H2O(l) -2 H+ = NpO2(OH)2w1(cr_hex)
NpO2CO3(cr),NpO2CO3(cr),Np|+6|O2CO3,s,14.83,0.23,,,,,,,1 NpO2+2 1 CO3-2 = NpO2CO3(cr)
K4NpO2(CO3)3(s),K4NpO2(CO3)3(s),K4Np|+6|O2(CO3)3,s,26.93,1.00,,,,,,,4 K+ 1 NpO2+2 3 CO3-2 = K4NpO2(CO3)3(s)
(NH4)4NpO2(CO3)3(s),(NH4)4NpO2(CO3)3(s),(N|-3|H4)4Np|+6|O2(CO3)3,s,27.34,0.58,,,,,,,4 NH4+ 1 NpO2+2 3 CO3-2 = (NH4)4NpO2(CO3)3(s)
Na2Np2O7w0.1(cr),Na2Np2O7:0.1H2O(cr),Na2Np|+6|2O7(H2O)0.1,s,-25.2,2.2,,,,,,, 2 Na+ 2 NpO2+2 3.1 H2O(l) -6 H+ = Na2Np2O7w0.1(cr)
NpO2OH(am),NpO2OH(am),Np|+5|O2OH,s,-5.3,0.2,41.1,3,,,,,1 NpO2+ 1 H2O(l) -1 H+ = NpO2OH(am)
Ca0.5NpO2(OH)2w1.3(cr),Ca0.5NpO2(OH)2:1.3H2O(cr),Ca0.5Np|+5|O2(OH)2(H2O)1.3,s,-12.30,0.07,,,,,,,1 NpO2+ 0.5 Ca+2 3.3 H2O(l) -2 H+ = Ca0.5NpO2(OH)2w1.3(cr)
CaNpO2(OH)2.6Cl0.4w2(cr),CaNpO2(OH)2.6Cl0.4:2H2O(cr),CaNp|+5|O2(OH)2.6Cl0.4(H2O)2,s,-19.90,0.10,,,,,,,1 NpO2+ 1 Ca+2 4.6 H2O(l) 0.4 Cl- -2.6 H+ = CaNpO2(OH)2.6Cl0.4w2(cr)
NaNpO2CO3w3.5(cr),NaNpO2CO3:3.5H2O(cr),NaNp|+5|O2CO3(H2O)3.5,s,11,0.24,,,,,,,1 Na+ 1 NpO2+ 1 CO3-2 3.5 H2O(l) = NaNpO2CO3w3.5(cr)
Na3NpO2(CO3)2(cr),Na3NpO2(CO3)2(cr),Na3Np|+5|O2(CO3)2,s,14.22,0.5,,,,,,,3 Na+ 1 NpO2+ 2 CO3-2 = Na3NpO2(CO3)2(cr)
KNpO2CO3(s),KNpO2CO3(s),KNp|+5|O2CO3,s,13.15,0.19,,,,,,,1 K+ 1 NpO2+ 1 CO3-2 = KNpO2CO3(s)
K3NpO2(CO3)2(s),K3NpO2(CO3)2(s),K3Np|+5|O2(CO3)2,s,15.46,0.16,,,,,,,3 K+ 1 NpO2+ 2 CO3-2 = K3NpO2(CO3)2(s)
NpO2(am_hyd),NpO2(am_hyd),Np|+4|O2,s,0.7,0.5,,,,,,,1 Np+4 2 H2O(l) -4 H+ = NpO2(am_hyd)
