Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Sm(OH)3(cr),Sm(OH)3(cr),Sm(OH)3,s,-15,1,,,,,,,1 Sm+3 3 H2O(l) -3 H+ = Sm(OH)3(cr)
SmF3(cr),SmF3(cr),SmF3,s,-19.2,0.4,-73,40,0,,25,60,1 Sm+3 3 F- = SmF3(cr)
Sm2(CO3)3(cr),Sm2(CO3)3(cr),Sm2(CO3)3,s,35,2,,,,,,,2 Sm+3 3 CO3-2 = Sm2(CO3)3(cr)
SmOHCO3(cr),SmOHCO3(cr),SmOHCO3,s,21.7,2,,,,,,,1 Sm+3 1 OH- 1 CO3-2 = SmOHCO3(cr)
SmPO4w0.667(cr),Sm-rhabdophane,SmPO4(H2O)0.667,s,25.2,1.3,22,8,0,,25,90,1 Sm+3 1 PO4-3 0.667 H2O(l) = SmPO4w0.667(cr)
Eu(OH)3(cr),Eu(OH)3(cr),Eu(OH)3,s,-14.9,0.3,-124.39,,,,25,,1 Eu+3 3 H2O(l) -3 H+ = Eu(OH)3(cr)
Eu(OH)3(am),Eu(OH)3(am),Eu(OH)3,s,-17.6,0.8,,,,,,,1 Eu+3 3 H2O(l) -3 H+ = Eu(OH)3(am)
EuF3(cr),EuF3(cr),EuF3,s,18.7,0.4,,,,,,,1 Eu+3 3 F- = EuF3(cr)
Eu2(CO3)3(cr),Eu2(CO3)3(cr),Eu2(CO3)3,s,35,0.3,,,,,,,2 Eu+3 3 CO3-2 = Eu2(CO3)3(cr)
EuOHCO3(cr),EuOHCO3(cr),EuOHCO3,s,21.7,0.1,,,,,,,1 Eu+3 1 OH- 1 CO3-2 = EuOHCO3(cr)
EuPO4w0.667(cr),Eu-rhabdophane,EuPO4(H2O)0.667,s,24.9,1.7,17,7,0,,25,90,1 Eu+3 1 PO4-3 0.667 H2O(l) = EuPO4w0.667(cr)
Ho(OH)3(cr),Ho(OH)3(cr),Ho(OH)3,s,-14.7,1,,,,,,,1 Ho+3 3 H2O(l) -3 H+ = Ho(OH)3(cr)
HoF3(cr),HoF3(cr),HoF3,s,17.6,0.4,,,,,,,1 Ho+3 3 F- = HoF3(cr)
Ho2(CO3)3(cr),Ho2(CO3)3(cr),Ho2(CO3)3,s,35,2,,,,,,,2 Ho+3 3 CO3-2 = Ho2(CO3)3(cr)
HoOHCO3(cr),HoOHCO3(cr),HoOHCO3,s,21.7,2,,,,,,,1 Ho+3 1 OH- 1 CO3-2 = HoOHCO3(cr)
HoPO4(s),HoPO4(s),HoPO4,s,25.3,0.6,,,,,,,1 Ho+3 1 PO4-3 = HoPO4(s)
