CH4(g)   ;              CH4                    =  +1.000CH4                 	; log_K   	-2.8565	 ; -analytical_expression 	-89.63393582234	0	4440.29675525994	29.0478933816	0	   
CO2(g)   ;              CO2                    =  +1.000H+                   -1.000H2O                  +1.000HCO3-               	; log_K   	-7.81956	 ; -analytical_expression 	41.87683954485	0	-1740.14204852581	-17.7229926959	0	   
H2(g)    ;   H2                     =  +1.000H2                  	; log_K   	-3.10597	 ; -analytical_expression 	-52.09936672097	0	2359.52736654890	16.6015796481	0	   
O2(g)    ;   O2                     =  +1.000O2                  	; log_K   	-2.8812	 ; -analytical_expression 	-76.67437063690	0	3828.93234444672	24.6329609322	0	   
H2S(g)   ;  H2S                    =  +1.000HS-                  +1.000H+	; log_K   	-8.00993	 ; -analytical_expression 	37.63799849734	0	-2225.98872774971	-15.4105293036	0	   
N2(g)    ; N2                     =  +1.000N2	; log_K   	-3.18743	 ; -analytical_expression 	-76.72711536033	0	3734.51086475577	24.6580977111	0	   
SiO2am ; SiO2 + 1OH- + 1H2O =  SiO(OH)3-	; log_K   	1.475988	 ; -analytical_expression 	-2.14181238156	0	664.05554528339	0.5620295123	0	   
CSHtob1 ; (CaO)2(SiO2)2.4(H2O)3.2 + 1.2 H2O = 2 Ca++ + 2.4 SiO(OH)3- + 1.6OH-	; log_K   	-19.1991	 ; -analytical_expression 	240.84653128714	0	-13954.21726608490	-86.1775378224	0	   
CSHjen ; (CaO)1.666667(SiO2)(H2O)2.1 + 0.566667 H2O = 1.666667Ca++ + SiO(OH)3- + 2.333334OH-	; log_K   	-13.1659	 ; -analytical_expression 	211.28870953694	0	-10574.51261009040	-76.3734723995	0	   
CSHtob2 ; (CaO)0.83333(SiO2)(H2O)1.3333 + 0.50003H2O = 0.83333Ca++ + SiO(OH)3- + 0.66666OH-	; log_K   	-8.0014	 ; -analytical_expression 	100.35344189250	0	-5814.81586527851	-35.9075880599	0	   
C2AH8 ; Ca2Al2(OH)10:3H2O = 2Ca++ + 2Al(OH)4- + 2OH- + 3H2O	; log_K   	-13.5622	 ; -analytical_expression 	154.48530223981	0	-8994.12914254083	-55.7212631893	0	   
C2FH8 ; Ca2Fe2(OH)10:3H2O = 2Ca++ + 2Fe(OH)4- + 2OH- + 3H2O	; log_K   	-17.602	 ; -analytical_expression 	299.40318587869	0	-18138.64886929690	-103.5235991057	0	   
hydrogarnetOH  ; Ca3Al2(OH)12 = 3Ca++ + 2Al(OH)4- + 4OH-	; log_K   	-20.8411	 ; -analytical_expression 	291.27318390754	0	-13720.16812376770	-107.5364633634	0	   
hydrogarnetFe  ; Ca3Fe2(OH)12 = 3Ca++ + 2Fe(OH)4- + 4OH-	; log_K   	-25.158	 ; -analytical_expression 	437.20835028023	0	-23213.52271974500	-155.3909971844	0	   
C4AH13 ; Ca4Al2(OH)14:6H2O = 4Ca++ + 2Al(OH)4- + 6OH- + 6H2O	; log_K   	-25.4033	 ; -analytical_expression 	407.04628084006	0	-21037.51384617330	-146.2503502912	0	   
C4FH13 ; Ca4Fe2(OH)14:6H2O = 4Ca++ + 2Fe(OH)4- + 6OH- + 6H2O	; log_K   	-29.4028	 ; -analytical_expression 	552.15552475835	0	-30178.01620624420	-194.1184748109	0	   
Ettringite ; Ca6Al2(SO4)3(OH)12:26H2O = 6Ca++ + 2Al(OH)4- + 3SO4-- + 4OH- + 26H2O	; log_K   	-44.9085	 ; -analytical_expression 	529.27779378424	0	-34439.99676380200	-185.3386429266	0	   
tricarboaluminate ; Ca6Al2(CO3)3(OH)12:26H2O = 6Ca++ + 2Al(OH)4- + 3CO3-- + 4OH- + 26H2O	; log_K   	-46.5085	 ; -analytical_expression 	526.28378030499	0	-32615.50770370250	-187.2629896410	0	   
Fe-ettringite ; Ca6Fe2(SO4)3(OH)12:26H2O = 6Ca++ + 2Fe(OH)4- + 3SO4-- + 4OH- + 26H2O	; log_K   	-44.0084	 ; -analytical_expression 	674.03730619220	0	-42106.04906255390	-233.0864957767	0	   
monosulfoaluminate ; Ca4Al2(SO4)(OH)12:6H2O = 4Ca++ + 2Al(OH)4- + SO4-- + 4OH- + 6H2O	; log_K   	-29.2628	 ; -analytical_expression 	404.92625454716	0	-21017.60772698490	-146.9719803091	0	   
